Epoch,Data
26,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.9044988556817853, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 26, '_last_lr': [0.0001]}}"
27,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.9044988556817853, 'num_bad_epochs': 1, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 27, '_last_lr': [0.0001]}}"
28,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.8954062561636109, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 28, '_last_lr': [0.0001]}}"
29,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.888521700318451, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 29, '_last_lr': [0.0001]}}"
30,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.875263492956973, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 30, '_last_lr': [0.0001]}}"
31,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.8625376671552658, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 31, '_last_lr': [0.0001]}}"
32,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.8478543118255687, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 32, '_last_lr': [0.0001]}}"
33,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.8478543118255687, 'num_bad_epochs': 1, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 33, '_last_lr': [0.0001]}}"
34,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.8410185786654076, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 34, '_last_lr': [0.0001]}}"
35,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.8352109716751419, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 35, '_last_lr': [0.0001]}}"
36,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.8267346310270774, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 36, '_last_lr': [0.0001]}}"
37,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.8150607652141733, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 37, '_last_lr': [0.0001]}}"
38,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.8134960349363267, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 38, '_last_lr': [0.0001]}}"
39,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.8118671116246132, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 39, '_last_lr': [0.0001]}}"
40,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7999966746285243, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 40, '_last_lr': [0.0001]}}"
41,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7943164811648834, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 41, '_last_lr': [0.0001]}}"
42,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7943164811648834, 'num_bad_epochs': 1, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 42, '_last_lr': [0.0001]}}"
43,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7909515683556823, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 43, '_last_lr': [0.0001]}}"
44,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7782181532052785, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 44, '_last_lr': [0.0001]}}"
45,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7712788048373314, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 45, '_last_lr': [0.0001]}}"
46,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7652678684278643, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 46, '_last_lr': [0.0001]}}"
47,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7582885542090928, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 47, '_last_lr': [0.0001]}}"
48,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7491586202044906, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 48, '_last_lr': [0.0001]}}"
49,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7491586202044906, 'num_bad_epochs': 1, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 49, '_last_lr': [0.0001]}}"
50,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7454989163227819, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 50, '_last_lr': [0.0001]}}"
51,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7406484878832295, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 51, '_last_lr': [0.0001]}}"
52,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7391501244269436, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 52, '_last_lr': [0.0001]}}"
53,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7269706520872466, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 53, '_last_lr': [0.0001]}}"
54,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7246945865858384, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 54, '_last_lr': [0.0001]}}"
55,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7190261341308195, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 55, '_last_lr': [0.0001]}}"
56,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7190261341308195, 'num_bad_epochs': 1, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 56, '_last_lr': [0.0001]}}"
57,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7136165338244136, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 57, '_last_lr': [0.0001]}}"
58,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7107342320252976, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 58, '_last_lr': [0.0001]}}"
59,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.7081218799441489, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 59, '_last_lr': [0.0001]}}"
60,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.6923071872836624, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 60, '_last_lr': [0.0001]}}"
61,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.6923071872836624, 'num_bad_epochs': 1, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 61, '_last_lr': [0.0001]}}"
62,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.6923071872836624, 'num_bad_epochs': 2, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 62, '_last_lr': [0.0001]}}"
63,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.6923071872836624, 'num_bad_epochs': 3, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 63, '_last_lr': [0.0001]}}"
64,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.6923071872836624, 'num_bad_epochs': 4, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 64, '_last_lr': [0.0001]}}"
65,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.6882725934911358, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 65, '_last_lr': [0.0001]}}"
66,"{'lr': 0.0001, 'sched': {'factor': 0.5, 'min_lrs': [0], 'patience': 5, 'verbose': false, 'cooldown': 0, 'cooldown_counter': 0, 'mode': 'min', 'threshold': 0.0001, 'threshold_mode': 'rel', 'best': 0.6816738338372333, 'num_bad_epochs': 0, 'mode_worse': Infinity, 'eps': 1e-08, 'last_epoch': 66, '_last_lr': [0.0001]}}"
